date,symptom:ageusia,symptom:anosmia,symptom:chills,symptom:cough,symptom:diarrhea,symptom:fatigue,symptom:fever,symptom:headache,symptom:loss of smell,symptom:loss of taste,symptom:muscle weakness,symptom:nasal congestion,symptom:nausea,symptom:shortness of breath,symptom:sore throat,symptom:vomiting,symptom:combined,daily_new_positives
2021-03-05,0,0,5,7,2,33,18,4,1,0,0,0,6,5,2,2,52.96,7647
2021-03-06,0,0,4,4,1,16,7,2,1,0,0,0,0,1,1,1,24.06,6789
2021-03-07,0,0,6,3,3,22,14,4,0,0,0,0,1,1,1,4,36.470000000000006,5309
2021-03-08,0,0,9,7,1,33,17,8,0,6,0,0,1,9,5,1,58.31000000000001,6850
2021-03-09,0,0,11,8,3,10,16,9,0,0,0,1,1,4,2,2,42.88000000000001,6489
2021-03-10,0,0,17,20,1,17,29,6,0,3,0,0,2,14,1,4,74.75,6747
2021-03-11,0,1,17,10,4,44,20,7,1,2,0,0,5,10,5,2,77.9,9299
2021-03-12,0,0,30,13,1,25,31,11,1,3,1,0,9,6,3,2,85.56,6600
2021-03-13,0,0,1,2,1,10,5,0,0,0,0,0,2,0,0,2,13.83,5943
2021-03-14,0,0,15,7,0,16,16,6,0,0,1,0,2,2,1,0,44.440000000000005,5807
2021-03-15,0,0,11,18,3,16,35,8,0,4,0,0,1,3,3,2,69.34,6508
2021-03-16,0,1,16,17,2,20,36,14,1,2,0,1,2,3,5,3,79.66000000000003,8976
2021-03-17,0,0,6,6,0,14,18,6,0,1,0,0,3,3,4,2,40.03,7796
2021-03-18,0,0,7,4,10,16,17,8,1,0,0,1,15,3,1,13,48.809999999999995,8262
2021-03-19,0,0,8,11,5,8,17,3,0,2,0,0,2,2,1,6,39.51,7623
2021-03-20,0,0,2,12,0,6,11,3,0,0,0,0,1,1,1,1,27.069999999999997,7938
2021-03-21,0,0,1,4,1,12,12,4,0,0,0,0,6,0,0,0,25.81,6361
2021-03-22,0,2,4,6,1,11,19,12,0,3,0,0,2,4,4,2,42.260000000000005,6801
2021-03-23,0,0,3,6,0,22,19,8,2,3,0,1,2,8,1,1,46.36,7278
2021-03-24,0,2,2,9,1,28,15,14,2,2,1,0,8,6,1,9,55.56,8081
