date,predicted_case_count,actual_case_count
2021-07-05,1248.3584252045148,421
2021-07-06,321.73575129367146,368
2021-07-07,-1726.8390092078698,255
2021-07-08,-973.37504668767,486
2021-07-09,582.8106503218914,670
2021-07-10,1616.4654766205767,817
2021-07-11,857.6780332374537,661
2021-07-12,1698.3654599735019,666
2021-07-13,920.5641985879947,573
2021-07-14,-29.310855057834488,643
2021-07-15,449.79953063185894,812
2021-07-16,1669.7296126892197,956
2021-07-17,2358.99517921408,981
2021-07-18,1726.6434111355093,1156
2021-07-19,950.7681829609664,1142
2021-07-20,221.74008541574585,823
2021-07-21,705.8622061450615,1144
2021-07-22,1952.1901661299935,1452
2021-07-23,1923.0755283571334,1584
2021-07-24,1511.2445845835327,1830
2021-07-25,2807.0360865634275,1846
2021-07-26,3353.312472687652,1982
2021-07-27,870.6652195984943,1296
2021-07-28,1276.2353257342056,1679
2021-07-29,3536.640109431607,2203
2021-07-30,3466.3822335578807,2567
2021-07-31,3645.801560393743,2677
2021-08-01,2641.3104869361377,3050
2021-08-02,3263.1883289725956,2516
2021-08-03,1810.0709439324537,2143
2021-08-04,2325.689015411159,2932
2021-08-05,3650.4209793577156,3115
2021-08-06,5146.105217125947,3644
2021-08-07,3683.9807447257854,3700
2021-08-08,4077.7355595445824,4385
2021-08-09,4321.487540037784,3467
2021-08-10,3871.1976362831783,3615
2021-08-11,3594.5840543946224,3222
2021-08-12,3980.2390154720833,4150
2021-08-13,6866.348483977727,4701
2021-08-14,5324.612300506867,4591
2021-08-15,5428.089657744597,4474
2021-08-16,4212.099149462393,4479
2021-08-17,4311.753591263454,3575
2021-08-18,3976.8919560577197,3567
2021-08-19,5187.464615686763,4737
2021-08-20,5234.7522859704595,5138
2021-08-21,4927.569614762949,4832
2021-08-22,5701.840383677404,4990
2021-08-23,5169.62266871462,4340
2021-08-24,3812.802494819416,3816
2021-08-25,4371.094808892188,3199
2021-08-26,4683.5958256378935,4272
2021-08-27,4832.102169178744,5407
2021-08-28,5536.605130284712,6348
2021-08-29,6399.989361815213,5524
2021-08-30,5565.129913344147,4246
2021-08-31,4178.657044251364,4147
2021-09-01,4314.923555000705,3789
2021-09-02,5340.3152662266975,4612
2021-09-03,6203.275827979006,4943
2021-09-04,6074.214545978636,6010
2021-09-05,6121.779305951148,5030
2021-09-06,4305.456064330434,4495
2021-09-07,3565.37335846088,3660
2021-09-08,4410.359670014854,3322
2021-09-09,4251.650163013796,3851
2021-09-10,3768.408480676918,5402
2021-09-11,5248.268817915303,6151
2021-09-12,1880.7545459010025,5768
2021-09-13,6043.174360635389,5447
2021-09-14,4954.407113515953,3686
2021-09-15,4614.790846107705,4098
2021-09-16,4901.104271041515,4852
2021-09-17,5628.077286740156,6729
2021-09-18,6526.131842773552,5781
2021-09-19,5720.876905465048,5368
2021-09-20,3833.6443598430506,5275
2021-09-21,3822.662567616623,3432
2021-09-22,3167.4204249392487,5242
2021-09-23,5419.792478022294,4673
2021-09-24,5406.942844839836,4814
2021-09-25,5122.771615044465,6070
2021-09-26,5292.230361111892,5288
2021-09-27,4790.606097599653,4314
2021-09-28,3563.4570177297983,4004
2021-09-29,3135.4465110911997,4114
2021-09-30,4072.642497776492,5137
2021-10-01,5506.784757138535,4744
2021-10-02,5144.952075897609,5187
2021-10-03,1390.3195386263415,4701
2021-10-04,4316.754504526416,4584
2021-10-05,3635.7326851932066,2896
2021-10-06,3049.273646461136,3877
2021-10-07,4493.537126192115,5672
2021-10-08,5069.030270476899,5243
2021-10-09,5333.512021415783,5654
2021-10-10,5070.954860760386,4804
2021-10-11,4888.087320357242,2785
2021-10-12,3808.5781238492127,5128
2021-10-13,3865.6610328680076,3376
2021-10-14,4953.081147367591,4658
2021-10-15,4321.473821680794,4401
2021-10-16,4584.4200988280445,5693
2021-10-17,5363.131619135433,5248
2021-10-18,4821.932388357471,4204
2021-10-19,4048.9677932537093,3003
2021-10-20,4188.2447566475,2892
2021-10-21,4485.323561676967,4668
2021-10-22,4349.106157910414,4223
2021-10-23,4428.242210774348,3594
2021-10-24,5457.326924819834,4338
2021-10-25,4513.043508104984,2861
2021-10-26,3496.993068419185,3054
2021-10-27,2478.59882135869,2203
2021-10-28,3716.6880507965707,4284
2021-10-29,4527.638875242128,4285
2021-10-30,3964.4607338932915,5064
2021-10-31,5048.256566170654,3977
2021-11-01,3375.299498112851,3588
2021-11-02,2208.591270294116,2907
2021-11-03,1953.3280392358374,2961
2021-11-04,3199.490725422711,4032
2021-11-05,4761.923935439443,4587
2021-11-06,3940.9873954923673,4775
2021-11-07,4081.595112364773,4913
2021-11-08,4406.25412701569,4603
2021-11-09,3911.697663474999,3480
2021-11-10,3058.883492242872,4108
2021-11-11,4849.609606726242,5138
2021-11-12,5281.498074331728,6545
2021-11-13,5301.4171860736005,6151
2021-11-14,4862.762902398557,6477
2021-11-15,5475.702437469061,5078
2021-11-16,4440.9235544156745,4572
2021-11-17,4501.893432968767,4872
2021-11-18,5022.472368879385,6114
2021-11-19,6483.806366274659,7971
2021-11-20,6174.863798313386,7558
2021-11-21,5594.334246974542,7097
2021-11-22,5794.103109966343,6857
2021-11-23,6309.258871326134,5401
2021-11-24,5812.874443744498,5336
2021-11-25,6890.307072744139,7166
2021-11-26,7118.891606706836,8388
2021-11-27,6161.443084434583,6295
2021-11-28,7177.225217376243,4326
2021-11-29,4269.298304416535,6147
2021-11-30,5393.2144580328495,5277
2021-12-01,4966.039863259669,6593
2021-12-02,7065.734498650065,9462
2021-12-03,7200.5059223316,11300
2021-12-04,8519.071228360948,11242
2021-12-05,9076.070754456938,9907
2021-12-06,8235.24111889794,10411
2021-12-07,7945.632414197231,6078
2021-12-08,7982.701227674539,8210
2021-12-09,9080.434752462761,9833
2021-12-10,9528.678134658308,12491
2021-12-11,9573.379273175306,11203
2021-12-12,9528.746429806099,11718
2021-12-13,8757.585658824053,11577
2021-12-14,8416.217136076182,8993
2021-12-15,7992.3107635653405,8266
2021-12-16,10755.965409832908,12944
2021-12-17,12454.996816371116,18276
2021-12-18,13728.468844291223,21027
2021-12-19,14551.61256442003,21908
2021-12-20,15606.732666299602,22478
2021-12-21,18227.803254463033,23391
2021-12-22,20330.913707198735,22258
2021-12-23,22275.089670105626,28924
2021-12-24,28618.558807014593,38835
2021-12-25,31272.639669166485,44431
2021-12-26,33711.61721831504,49708
2021-12-27,39212.360690083566,36454
2021-12-28,36437.99472492568,26737
2021-12-29,37917.76282933404,40780
2021-12-30,44847.738681781666,67090
2021-12-31,53977.6046820548,74207
